uid,event,ioi,period,pulses
8798ca46-0,0,4,12,3
8798ca46-0,1,8,12,3
8798ca46-0,2,4,12,3
8798ca46-0,3,8,12,3
8798ca46-0,4,2,12,3
8798ca46-0,5,2,12,3
8798ca46-0,6,4,12,3
8798ca46-0,7,8,12,3
8798ca46-0,8,4,12,3
8798ca46-0,9,4,12,3
8798ca46-0,10,4,12,3
8798ca46-0,11,2,12,3
8798ca46-0,12,2,12,3
8798ca46-0,13,4,12,3
8798ca46-0,14,4,12,3
8798ca46-0,15,8,12,3
8798ca46-0,16,2,12,3
8798ca46-0,17,2,12,3
8798ca46-0,18,8,12,3
8798ca46-0,19,4,12,3
8798ca46-0,20,8,12,3
8798ca46-0,21,2,12,3
8798ca46-0,22,2,12,3
8798ca46-0,23,2,12,3
8798ca46-0,24,2,12,3
8798ca46-0,25,4,12,3
8798ca46-0,26,2,12,3
8798ca46-0,27,2,12,3
8798ca46-0,28,8,12,3
32eee06d-0,0,2,12,6
32eee06d-0,1,2,12,6
32eee06d-0,2,2,12,6
32eee06d-0,3,2,12,6
32eee06d-0,4,2,12,6
32eee06d-0,5,2,12,6
32eee06d-0,6,2,12,6
32eee06d-0,7,2,12,6
32eee06d-0,8,2,12,6
32eee06d-0,9,2,12,6
32eee06d-0,10,4,12,6
32eee06d-0,11,1,12,6
32eee06d-0,12,1,12,6
32eee06d-0,13,2,12,6
32eee06d-0,14,2,12,6
32eee06d-0,15,2,12,6
32eee06d-0,16,2,12,6
32eee06d-0,17,2,12,6
32eee06d-0,18,2,12,6
32eee06d-0,19,2,12,6
32eee06d-0,20,2,12,6
32eee06d-0,21,2,12,6
32eee06d-0,22,10,12,6
32eee06d-0,23,1,12,6
32eee06d-0,24,1,12,6
32eee06d-0,25,2,12,6
32eee06d-0,26,2,12,6
32eee06d-0,27,2,12,6
32eee06d-0,28,2,12,6
4749e0aa-0,0,2,8,2
4749e0aa-0,1,2,8,2
4749e0aa-0,2,2,8,2
4749e0aa-0,3,2,8,2
4749e0aa-0,4,2,8,2
4749e0aa-0,5,2,8,2
4749e0aa-0,6,2,8,2
4749e0aa-0,7,2,8,2
4749e0aa-0,8,2,8,2
4749e0aa-0,9,2,8,2
4749e0aa-0,10,2,8,2
4749e0aa-0,11,2,8,2
4749e0aa-0,12,8,8,2
4749e0aa-0,13,2,8,2
4749e0aa-0,14,2,8,2
4749e0aa-0,15,2,8,2
4749e0aa-0,16,2,8,2
4749e0aa-0,17,2,8,2
4749e0aa-0,18,2,8,2
4749e0aa-0,19,2,8,2
4749e0aa-0,20,2,8,2
4749e0aa-0,21,2,8,2
4749e0aa-0,22,2,8,2
4749e0aa-0,23,2,8,2
4749e0aa-0,24,2,8,2
4749e0aa-0,25,2,8,2
4749e0aa-0,26,6,8,2
4749e0aa-0,27,2,8,2
4749e0aa-0,28,2,8,2
f45c26f2-0,0,1,8,2
f45c26f2-0,1,3,8,2
f45c26f2-0,2,1,8,2
f45c26f2-0,3,3,8,2
f45c26f2-0,4,1,8,2
f45c26f2-0,5,3,8,2
