uid,event,ioi,period,pulses
deaff042-0,0,4,16,4
deaff042-0,1,4,16,4
deaff042-0,2,4,16,4
deaff042-0,3,4,16,4
deaff042-0,4,4,16,4
deaff042-0,5,4,16,4
deaff042-0,6,4,16,4
deaff042-0,7,4,16,4
deaff042-0,8,4,16,4
deaff042-0,9,6,16,4
deaff042-0,10,2,16,4
deaff042-0,11,2,16,4
deaff042-0,12,2,16,4
deaff042-0,13,2,16,4
deaff042-0,14,2,16,4
deaff042-0,15,12,16,4
deaff042-0,16,4,16,4
deaff042-0,17,4,16,4
deaff042-0,18,4,16,4
deaff042-0,19,4,16,4
deaff042-0,20,4,16,4
deaff042-0,21,4,16,4
deaff042-0,22,4,16,4
deaff042-0,23,4,16,4
deaff042-0,24,4,16,4
deaff042-0,25,6,16,4
deaff042-0,26,2,16,4
deaff042-0,27,2,16,4
deaff042-0,28,2,16,4
2c9b90cb-0,0,4,16,4
2c9b90cb-0,1,4,16,4
2c9b90cb-0,2,4,16,4
2c9b90cb-0,3,4,16,4
2c9b90cb-0,4,4,16,4
2c9b90cb-0,5,6,16,4
2c9b90cb-0,6,2,16,4
2c9b90cb-0,7,4,16,4
2c9b90cb-0,8,4,16,4
2c9b90cb-0,9,12,16,4
2c9b90cb-0,10,4,16,4
2c9b90cb-0,11,4,16,4
2c9b90cb-0,12,4,16,4
2c9b90cb-0,13,4,16,4
2c9b90cb-0,14,4,16,4
2c9b90cb-0,15,6,16,4
2c9b90cb-0,16,2,16,4
2c9b90cb-0,17,4,16,4
2c9b90cb-0,18,4,16,4
2c9b90cb-0,19,12,16,4
2c9b90cb-0,20,4,16,4
2c9b90cb-0,21,6,16,4
2c9b90cb-0,22,2,16,4
2c9b90cb-0,23,4,16,4
2c9b90cb-0,24,4,16,4
2c9b90cb-0,25,4,16,4
2c9b90cb-0,26,4,16,4
2c9b90cb-0,27,4,16,4
2c9b90cb-0,28,4,16,4
e5a12e76-0,0,2,12,6
e5a12e76-0,1,4,12,6
e5a12e76-0,2,2,12,6
e5a12e76-0,3,4,12,6
e5a12e76-0,4,2,12,6
e5a12e76-0,5,2,12,6
e5a12e76-0,6,2,12,6
e5a12e76-0,7,2,12,6
e5a12e76-0,8,4,12,6
e5a12e76-0,9,2,12,6
e5a12e76-0,10,4,12,6
e5a12e76-0,11,2,12,6
e5a12e76-0,12,4,12,6
e5a12e76-0,13,2,12,6
e5a12e76-0,14,2,12,6
e5a12e76-0,15,8,12,6
e5a12e76-0,16,2,12,6
e5a12e76-0,17,4,12,6
e5a12e76-0,18,2,12,6
e5a12e76-0,19,4,12,6
e5a12e76-0,20,2,12,6
e5a12e76-0,21,2,12,6
e5a12e76-0,22,2,12,6
e5a12e76-0,23,2,12,6
e5a12e76-0,24,4,12,6
e5a12e76-0,25,2,12,6
e5a12e76-0,26,4,12,6
