uid,event,ioi,period,pulses
4544001c07b81b64-0,0,4,18,9
4544001c07b81b64-0,1,8,18,9
4544001c07b81b64-0,2,2,18,9
4544001c07b81b64-0,3,3,18,9
4544001c07b81b64-0,4,1,18,9
4544001c07b81b64-0,5,2,18,9
4544001c07b81b64-0,6,2,18,9
4544001c07b81b64-0,7,2,18,9
4544001c07b81b64-0,8,1,18,9
4544001c07b81b64-0,9,1,18,9
4544001c07b81b64-0,10,8,18,9
4544001c07b81b64-0,11,1,18,9
4544001c07b81b64-0,12,1,18,9
4544001c07b81b64-0,13,2,18,9
4544001c07b81b64-0,14,1,18,9
4544001c07b81b64-0,15,1,18,9
4544001c07b81b64-0,16,2,18,9
4544001c07b81b64-0,17,2,18,9
4544001c07b81b64-0,18,1,18,9
4544001c07b81b64-0,19,1,18,9
4544001c07b81b64-0,20,2,18,9
4544001c07b81b64-0,21,1,18,9
4544001c07b81b64-0,22,1,18,9
4544001c07b81b64-0,23,6,18,9
4544001c07b81b64-0,24,1,18,9
4544001c07b81b64-0,25,1,18,9
4544001c07b81b64-0,26,1,18,9
4544001c07b81b64-0,27,1,18,9
4544001c07b81b64-0,28,1,18,9
7fe862752601ad6f-0,0,4,20,10
7fe862752601ad6f-0,1,2,20,10
7fe862752601ad6f-0,2,4,20,10
7fe862752601ad6f-0,3,2,20,10
7fe862752601ad6f-0,4,2,20,10
7fe862752601ad6f-0,5,2,20,10
7fe862752601ad6f-0,6,2,20,10
7fe862752601ad6f-0,7,2,20,10
7fe862752601ad6f-0,8,2,20,10
7fe862752601ad6f-0,9,2,20,10
7fe862752601ad6f-0,10,2,20,10
7fe862752601ad6f-0,11,2,20,10
7fe862752601ad6f-0,12,2,20,10
7fe862752601ad6f-0,13,1,20,10
7fe862752601ad6f-0,14,1,20,10
7fe862752601ad6f-0,15,1,20,10
7fe862752601ad6f-0,16,1,20,10
7fe862752601ad6f-0,17,6,20,10
7fe862752601ad6f-0,18,6,20,10
7fe862752601ad6f-0,19,4,20,10
7fe862752601ad6f-0,20,4,20,10
7fe862752601ad6f-0,21,4,20,10
7fe862752601ad6f-0,22,2,20,10
7fe862752601ad6f-0,23,4,20,10
7fe862752601ad6f-0,24,2,20,10
7fe862752601ad6f-0,25,4,20,10
7fe862752601ad6f-0,26,2,20,10
7fe862752601ad6f-0,27,2,20,10
7fe862752601ad6f-0,28,2,20,10
acec07a502757b7c-0,0,1,16,4
acec07a502757b7c-0,1,1,16,4
acec07a502757b7c-0,2,2,16,4
acec07a502757b7c-0,3,2,16,4
acec07a502757b7c-0,4,2,16,4
acec07a502757b7c-0,5,1,16,4
acec07a502757b7c-0,6,1,16,4
acec07a502757b7c-0,7,6,16,4
acec07a502757b7c-0,8,1,16,4
acec07a502757b7c-0,9,1,16,4
acec07a502757b7c-0,10,2,16,4
acec07a502757b7c-0,11,1,16,4
acec07a502757b7c-0,12,1,16,4
acec07a502757b7c-0,13,1,16,4
acec07a502757b7c-0,14,1,16,4
acec07a502757b7c-0,15,1,16,4
acec07a502757b7c-0,16,1,16,4
acec07a502757b7c-0,17,2,16,4
acec07a502757b7c-0,18,2,16,4
acec07a502757b7c-0,19,1,16,4
acec07a502757b7c-0,20,3,16,4
acec07a502757b7c-0,21,1,16,4
acec07a502757b7c-0,22,1,16,4
acec07a502757b7c-0,23,2,16,4
acec07a502757b7c-0,24,2,16,4
acec07a502757b7c-0,25,1,16,4
acec07a502757b7c-0,26,1,16,4
acec07a502757b7c-0,27,6,16,4
acec07a502757b7c-0,28,1,16,4
19d9c13e5b0b82d1-0,0,2,18,9
19d9c13e5b0b82d1-0,1,2,18,9
19d9c13e5b0b82d1-0,2,4,18,9
19d9c13e5b0b82d1-0,3,10,18,9
19d9c13e5b0b82d1-0,4,2,18,9
19d9c13e5b0b82d1-0,5,2,18,9
19d9c13e5b0b82d1-0,6,2,18,9
19d9c13e5b0b82d1-0,7,2,18,9
19d9c13e5b0b82d1-0,8,2,18,9
19d9c13e5b0b82d1-0,9,2,18,9
19d9c13e5b0b82d1-0,10,2,18,9
19d9c13e5b0b82d1-0,11,2,18,9
19d9c13e5b0b82d1-0,12,2,18,9
19d9c13e5b0b82d1-0,13,2,18,9
19d9c13e5b0b82d1-0,14,2,18,9
19d9c13e5b0b82d1-0,15,2,18,9
19d9c13e5b0b82d1-0,16,1,18,9
19d9c13e5b0b82d1-0,17,1,18,9
19d9c13e5b0b82d1-0,18,8,18,9
19d9c13e5b0b82d1-0,19,1,18,9
19d9c13e5b0b82d1-0,20,1,18,9
19d9c13e5b0b82d1-0,21,2,18,9
19d9c13e5b0b82d1-0,22,2,18,9
19d9c13e5b0b82d1-0,23,1,18,9
19d9c13e5b0b82d1-0,24,1,18,9
19d9c13e5b0b82d1-0,25,1,18,9
19d9c13e5b0b82d1-0,26,1,18,9
19d9c13e5b0b82d1-0,27,8,18,9
19d9c13e5b0b82d1-0,28,4,18,9
3a6835c5e2e588e0-0,0,2,20,10
3a6835c5e2e588e0-0,1,4,20,10
3a6835c5e2e588e0-0,2,2,20,10
3a6835c5e2e588e0-0,3,2,20,10
3a6835c5e2e588e0-0,4,6,20,10
3a6835c5e2e588e0-0,5,4,20,10
3a6835c5e2e588e0-0,6,2,20,10
3a6835c5e2e588e0-0,7,2,20,10
3a6835c5e2e588e0-0,8,2,20,10
3a6835c5e2e588e0-0,9,2,20,10
3a6835c5e2e588e0-0,10,2,20,10
3a6835c5e2e588e0-0,11,10,20,10
3a6835c5e2e588e0-0,12,2,20,10
3a6835c5e2e588e0-0,13,4,20,10
3a6835c5e2e588e0-0,14,2,20,10
