name,keysig,mode,melody
deut001,-1,0,(65 69 72 69 67 69 70 72 70 69 72 69 74 72 70 69 69 67 65 69 72 69 67 69 70 72 70 69 72 69 74 72 70 69 69 67 67 70 69 60 67 70 70 69 74 74 72 74 72 70 69 67 65 67 70 69 60 67 70 70 69 74 74 72 74 72 70 69 67 65)
deut002,3,0,(64 69 73 73 71 71 69 69 69 71 73 74 71 69 68 69 64 69 73 73 71 71 69 69 69 71 73 74 71 69 68 69 73 71 76 75 73 73 71 71 69 68 73 71 69 68 66 64 76 76 75 75 74 74 73 73 69 71 73 74 71 69 68 69)
deut003,0,0,(55 54 55 57 55 54 55 57 55 55 53 62 53 53 52 60 55 54 55 57 55 54 55 57 55 55 53 65 59 60 50 55 59 59 60 59 57 57 57 59 57 55 55 59 60 59 57 57 57 59 57 55 55 59 60 59 57 64 62 55 55 54 55 57 55 54 55 57 55 55 53 62 53 53 52 60 55 54 55 57 55 54 55 57 55 55 53 65 59 60)
deut004,1,0,(67 71 74 74 72 71 72 74 71 67 69 69 69 76 74 72 72 71 71 67 71 74 74 72 71 72 74 71 67 69 69 69 76 74 72 72 71 71 71 69 69 71 69 71 73 74 69 78 74 73 74 76 73 74 74 74 72 71 69 67 65 64 67 72 74 76 76 74 71 74 72 71 69 67)
deut005,-1,0,(60 65 60 57 53 57 58 55 60 57 55 55 57 57 59 60 62 64 62 59 60 60 55 55 55 57 58 57 57 57 57 59 60 59 60 60 65 60 63 62 62 62 60 55 58 57)
deut006,0,0,(60 59 60 57 55 57 55 53 52 60 59 60 57 55 57 55 53 52 60 60 62 62 64 64 60 60 62 62 64 64 60 64 62 60 59 59 60)
deut007,-2,0,(65 65 62 62 65 65 62 62 70 65 65 63 60 60 63 63 60 60 72 63 63 62 65 65 70 70 74 72 70 72 74 72 65 65 69 69 72 72 75 74 72 74 75 74 77 77 75 74 74 75 72 72 72 72 72 74 72 70 70 72 72 72 74 70)
deut008,3,0,(73 73 71 73 69 73 73 71 73 69 71 71 69 68 69 71 69 68 66 64 73 73 71 73 69 73 73 71 73 69 71 71 69 68 71 71 69 76 76 76 76 76 76 74 78 76 74 73 71 73 74 73 74 71 73 74 76 74 73 71 69 73 73 73 73 73 71 73 74 73 71 69 71 73 71 69 68 71 71 69)
deut009,1,0,(62 67 66 67 69 71 67 67 71 69 71 72 74 71 72 76 74 72 71 74 72 71 69 71 72 69 71 72 74 72 71 69 71 72 71 72 74 72 71 71 69 69 67)
deut010,1,0,(74 72 71 74 74 72 69 67 71 71 69 67 66 72 72 71 69 76 74 74 72 71 74 74 72 69 67 71 71 69 67 66 76 76 72 69 67 71 67 66 72 72 69 66 67 76 74 71 67 66 72 72 69 66 67 76 74 74 72 71 74 74 72 69 67 71 71 69 67 66 72 72 71 69 76 74 74 72 71 74 74 72 69 67 71 71 69 67 66 76 76 72 69 67)
deut011,2,0,(57 62 61 62 64 66 64 62 66 64 57 64 62 64 66 67 66 64 64 66 66 66 66 66 64 62 61 62 59 64 64 64 62 61 59 59 61 57 66 64 62 61 59 59 62 59 57 62 61 64 62)
