name,keysig,mode,melody
NLB015056_01,-1,0,(72 70 69 69 67 70 67 65 69 65 60 60 70 70 70 72 70 67 67 69 69 70 69 70 72 70 72 74 70 67 65 65 67 65 67 69 67 69 69 70 69 70 72 70 72 77 74 70 67 65 65 65 69 67 65)
NLB015086_01,0,9,(69 71 72 72 72 72 72 71 69 71 69 68 69 71 72 74 72 71 69 68 71 69)
NLB015087_01,0,9,(62 62 69 69 71 72 69 67 65 67 69 72 70 69 67 69 65 67 69 69 69 67 64 65 64 62 64 65 67 65 64 65 64 62 64 65 67 69 69 69 67 64 65 64 62 64 65 67 65 64 65 64 62 62)
NLB015294_01,0,9,(62 65 67 69 74 72 71 69 69 72 70 69 67 67 65 65 62 64 64 62 65 65 67 62 62 60 65 62 64 65 67 67 65 65 64 62 65 62 64 64 62 65 65 67 62 62 60 65 62 64 65 67 67 65 65 64 62)
NLB015532_01,-1,0,(65 69 69 69 69 69 69 70 69 67 67 69 69 69 69 69 70 67 65)
NLB015542_01,1,9,(71 71 71 71 74 71 71 69 69 71 67 67 67 64 66 67 69 71 69 67 66 67 66 64 67 67 67 64 66 67 69 71 69 67 66 64)
NLB015549_01,1,9,(69 74 76 74 74 76 74 74 71 71 71 71 71 67 67 67 66 67 71 69 69 69)
NLB015550_01,-3,9,(67 67 68 67 67 68 65 65 63 65 63 63 67 70 72 70 67 72 70 69 70 72 67 67 67 67 68 70 72 70 72 67 65 63 62 63 65 68 67 67 68 65 67 60)
NLB015552_01,1,0,(71 71 69 67 62 67 69 71 71 71 69 67 62 67 69 71 74 74 72 71 69 72 71 69 71)
NLB015562_01,2,0,(69 71 69 66 66 69 69 67 67 66 62 64 66 66 64 64 66 67 71 69 69 71 69 66 66 69 69 67 67 66 62 62 64 71 69 69 69 64 66 62)
NLB015563_01,-1,0,(69 67 65 60 65 69 67 65 69 67 69 72 72 70 69 67 69 65 69 67 65 60 65 69 67 65 69 67 69 72 74 72 70 69 67 65)
